tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,22,118,6,0.415254,0.702959,1.369221,0.764177,0.488701,5.363636,0.521186,1.363636,132911.000000,132911.000000,-0.000000,1238,0,1661,13,13,16,16,16,6.250000,0.000000,12.625000,3479,258,0.250927,0.926150,2.450790,2.425764
1000,18,53,4,0.509434,0.628693,1.099522,0.793137,0.372642,2.944444,0.528302,1.166667,132911.000000,132911.000000,0.000000,746,1,1881,21,21,4,4,4,12.500000,0.000000,17.500000,395,2,0.156796,0.946523,2.168337,1.991913
1500,12,14,6,0.357143,0.724490,1.489459,0.831283,0.380952,1.166667,0.892857,1.166667,132911.000000,132911.000000,-0.000000,475,0,1953,11,11,5,3,5,5.000000,0.000000,15.000000,0,0,0.000000,0.995532,1.782037,2.015557
2000,14,15,8,0.400000,0.773333,1.771624,0.851971,0.375000,1.071429,0.766667,1.071429,132911.000000,132911.000000,0.000000,451,1,1132,6,6,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.875862,2.224000
2500,13,14,8,0.357143,0.795918,1.828841,0.879487,0.339286,1.076923,0.785714,1.076923,132911.000000,132911.000000,0.000000,497,0,813,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.806875,2.234043
3000,8,8,7,0.250000,0.843750,1.906155,0.979570,0.107143,1.000000,1.000000,1.000000,132911.000000,132911.000000,-0.000000,442,0,1598,0,0,0,0,0,0.000000,0.000000,0.000000,1,1,0.281792,0.000000,1.748180,2.318777
3500,5,5,5,0.200000,0.800000,1.609438,1.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,-0.000000,379,0,701,2,2,0,0,0,0.000000,0.000000,0.000000,14,0,0.105314,0.999016,1.799483,2.239587
4000,3,3,3,0.333333,0.666667,1.098612,1.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,-0.000000,281,0,414,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.670481,1.780321
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,156,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.144643,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
