tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,22,191,10,0.397906,0.765714,1.754552,0.761992,0.560733,8.681818,0.604712,3.045455,132911.000000,132911.000000,-0.000000,1391,2,1677,25,25,31,31,31,6.225806,0.000000,15.387097,2067,43,0.230119,0.935735,2.440010,2.634063
1000,27,146,13,0.424658,0.766560,1.876433,0.731567,0.606955,5.407407,0.595890,2.185185,132911.000000,132911.000000,0.000000,1508,1,2672,39,39,25,24,25,7.120000,0.000000,15.458333,1005,153,0.118550,0.944683,2.316700,2.542451
1500,29,120,14,0.391667,0.787778,1.942731,0.736146,0.614286,4.137931,0.612500,2.103448,132911.000000,132911.000000,0.000000,1286,1,6421,43,43,13,11,13,4.230769,0.000000,10.090909,3673,80,0.191947,0.960559,2.313790,2.610530
2000,20,52,9,0.403846,0.765533,1.738674,0.791305,0.512821,2.600000,0.692308,1.600000,132911.000000,132911.000000,-0.000000,1061,1,3637,43,43,4,4,4,5.750000,0.000000,12.000000,365,81,0.215728,0.965578,2.060337,2.342788
2500,12,40,11,0.600000,0.618750,1.539446,0.641999,0.604545,3.333333,0.487500,1.166667,132911.000000,132911.000000,0.000000,727,0,3682,22,22,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.990514,1.790548,1.726652
3000,9,22,9,0.500000,0.702479,1.640041,0.746415,0.494949,2.444444,0.750000,1.555556,132911.000000,132911.000000,-0.000000,564,0,1805,1,1,7,7,7,6.000000,0.000000,13.428571,0,0,0.000000,0.972459,1.622704,1.842395
3500,7,10,7,0.400000,0.780000,1.748067,0.898329,0.257143,1.428571,0.800000,1.142857,132911.000000,132911.000000,0.000000,366,0,1316,1,1,2,2,2,4.000000,0.000000,7.500000,0,0,0.000000,0.951607,1.606625,2.033167
4000,5,8,5,0.500000,0.687500,1.386294,0.861353,0.300000,1.600000,0.750000,1.200000,132911.000000,132911.000000,0.000000,304,0,858,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,1.000000,1.022879,1.390729
4500,2,2,2,0.500000,0.500000,0.693147,1.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,207,0,647,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,1.000000,0.761478,0.880739
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,29,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.924303,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
