tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,20,121,6,0.528926,0.652824,1.327874,0.741101,0.516529,6.050000,0.491736,1.600000,132911.000000,132911.000000,-0.000000,1500,1,225,8,8,52,52,52,6.692308,0.000000,16.211538,1986,22,0.218415,0.940681,2.344248,2.183206
1000,9,76,4,0.486842,0.621191,1.098333,0.792280,0.394737,8.444444,0.440789,1.555556,132911.000000,132911.000000,0.000000,654,0,246,4,4,8,7,8,3.375000,0.000000,7.000000,28,8,0.149445,0.925176,2.310887,2.056694
1500,12,27,4,0.555556,0.614540,1.136475,0.819793,0.379630,2.250000,0.814815,1.583333,132911.000000,132911.000000,0.000000,401,0,52,1,1,14,14,14,3.357143,0.000000,6.857143,0,0,0.000000,0.973981,2.060386,1.880731
2000,3,4,2,0.750000,0.375000,0.562335,0.811278,0.250000,1.333333,0.875000,1.000000,132911.000000,132911.000000,-0.000000,213,0,16,0,0,1,1,1,2.000000,0.000000,2.000000,0,0,0.000000,0.995518,1.882499,1.080937
2500,3,4,2,0.750000,0.375000,0.562335,0.811278,0.250000,1.333333,0.875000,1.000000,132911.000000,132911.000000,-0.000000,102,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.998039,2.086894,1.157585
3000,3,4,2,0.750000,0.375000,0.562335,0.811278,0.250000,1.333333,0.875000,1.000000,132911.000000,132911.000000,-0.000000,111,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.998039,2.188075,1.195528
3500,1,4,1,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.625000,1.000000,132911.000000,132911.000000,-0.000000,113,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.982012,2.124770,0.000000
4000,1,4,1,1.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.625000,1.000000,132911.000000,132911.000000,-0.000000,57,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.998039,1.303974,0.000000
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,58,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.992961,1.463961,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
