tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,9,97,3,0.350515,0.666171,1.097872,0.999326,0.020619,10.777778,0.515464,2.777778,132911.000000,132911.000000,-0.000000,1030,0,661,7,7,18,18,18,4.611111,0.000000,12.000000,2675,221,0.294168,0.926043,2.490268,2.325114
1000,1,2,1,1.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,2.000000,132911.000000,132911.000000,0.000000,200,0,2,1,1,6,6,6,3.666667,0.000000,11.666667,0,0,0.000000,0.949839,2.186364,0.000000
1500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,2,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.907843,0.000000,0.000000
2000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
2500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
