tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,23,220,4,0.322727,0.723430,1.324786,0.955631,0.165909,9.565217,0.550000,2.739130,132911.000000,132911.000000,0.000000,1305,1,2092,21,21,25,24,25,5.000000,0.000000,11.416667,3624,228,0.257375,0.931694,2.373258,2.440315
1000,16,60,7,0.300000,0.794444,1.720598,0.884212,0.366667,3.750000,0.716667,1.812500,132911.000000,132911.000000,-0.000000,1054,1,931,16,16,21,21,21,4.285714,0.000000,10.285714,215,4,0.161388,0.957422,2.097763,2.461001
1500,5,18,3,0.555556,0.586420,0.980990,0.892935,0.259259,3.600000,0.694444,1.400000,132911.000000,132911.000000,-0.000000,499,0,500,0,0,1,1,1,3.000000,0.000000,4.000000,80,2,0.116433,0.963297,2.111246,1.824496
2000,2,4,2,0.750000,0.375000,0.562335,0.811278,0.250000,2.000000,0.750000,1.000000,132911.000000,132911.000000,-0.000000,196,0,504,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.999679,1.248434,0.843163
2500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,46,0,213,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,1.000000,0.918480,0.000000
3000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,-0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,-0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
