tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,17,110,4,0.545455,0.602149,1.040015,0.750212,0.413636,6.470588,0.509091,1.941176,132911.000000,132911.000000,-0.000000,1185,0,552,13,13,16,16,16,7.250000,0.000000,16.312500,2850,317,0.291542,0.951976,2.416949,2.057512
1000,13,50,2,0.980000,0.039200,0.098039,0.141441,0.480000,3.846154,0.510000,1.461538,132911.000000,132911.000000,-0.000000,681,2,6505,35,35,10,10,10,4.500000,0.000000,12.100000,75,18,0.180604,0.957681,2.239159,0.126975
1500,6,16,4,0.812500,0.328125,0.688567,0.496696,0.562500,2.666667,0.500000,1.000000,132911.000000,132911.000000,0.000000,504,0,6482,27,27,0,0,0,0.000000,0.000000,0.000000,103,0,0.078937,0.947487,2.108455,1.019962
2000,2,10,1,1.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.400000,1.000000,132911.000000,132911.000000,-0.000000,179,0,2042,3,3,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.998665,2.104848,0.000000
2500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,79,0,361,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.999403,1.777452,0.000000
3000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
