tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,14,201,6,0.477612,0.681072,1.336522,0.745927,0.506633,14.357143,0.567164,4.357143,132911.000000,132911.000000,-0.000000,1280,2,2767,13,13,26,25,26,4.115385,0.000000,15.720000,4601,267,0.241238,0.935505,2.345037,2.278212
1000,8,40,4,0.375000,0.667500,1.163466,0.839264,0.300000,5.000000,0.425000,1.125000,132911.000000,132911.000000,0.000000,621,0,2094,18,18,17,17,17,5.470588,0.000000,21.176471,15,2,0.123794,0.939491,2.351166,2.236903
1500,3,18,2,0.555556,0.493827,0.686962,0.991076,0.055556,6.000000,0.500000,1.333333,132911.000000,132911.000000,-0.000000,313,0,1314,8,8,0,0,0,0.000000,0.000000,0.000000,12,0,0.074658,0.922236,2.495274,1.726061
2000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,25,1,8,1,1,0,0,0,0.000000,0.000000,0.000000,3,1,0.088153,0.921630,1.563994,0.000000
2500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
3500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
4500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
